Date,Close
2/20/2019,55.69
2/21/2019,54.85
2/22/2019,55.52
2/25/2019,55.47
2/26/2019,55.76
2/27/2019,55.8
2/28/2019,56
3/1/2019,57.05
3/4/2019,57.39
3/5/2019,58.1
3/6/2019,57.89
3/7/2019,57.17
3/8/2019,57.12
3/11/2019,58.79
3/12/2019,59.66
3/13/2019,59.67
3/14/2019,59.28
3/15/2019,59.22
3/18/2019,59.21
3/19/2019,59.94
3/20/2019,61.2
3/21/2019,61.58
3/22/2019,60.28
3/25/2019,59.65
3/26/2019,59.23
3/27/2019,58.65
3/28/2019,58.42
3/29/2019,58.67
4/1/2019,59.72
4/2/2019,60.02
4/3/2019,60.3
4/4/2019,60.75
4/5/2019,60.36
4/8/2019,60.19
4/9/2019,59.86
4/10/2019,60.11
4/11/2019,60.23
4/12/2019,60.89
4/15/2019,61.06
4/16/2019,61.36
4/17/2019,61.82
4/18/2019,61.82
4/22/2019,62.44
